round,kept,thrown,TP,FP,FN,TN,fpr,tnr
1,"[22, 13, 5, 28, 6, 18, 26, 15, 24, 9, 19, 14, 11, 2, 10, 1, 17, 27]","[20, 29, 7, 16, 3, 8, 4, 25, 21, 12, 23, 0]",6,6,0,18,0.24999999999895836,0.749999999996875
2,"[13, 22, 5, 19, 15, 6, 28, 9, 26, 24, 18, 14, 11, 10, 2, 1, 17, 27]","[4, 29, 12, 16, 20, 21, 25, 7, 0, 3, 8, 23]",6,6,0,18,0.24999999999895836,0.749999999996875
3,"[22, 5, 13, 28, 15, 18, 14, 19, 6, 24, 26, 9, 17, 10, 1, 11, 2, 27]","[20, 12, 21, 7, 23, 8, 25, 4, 29, 16, 3, 0]",6,6,0,18,0.24999999999895836,0.749999999996875
4,"[13, 22, 5, 6, 26, 24, 15, 28, 19, 18, 9, 14, 1, 17, 2, 11, 10, 27]","[7, 25, 29, 4, 23, 12, 16, 3, 8, 0, 20, 21]",6,6,0,18,0.24999999999895836,0.749999999996875
5,"[13, 22, 5, 28, 6, 15, 24, 9, 26, 19, 14, 18, 17, 11, 1, 2, 10, 27]","[23, 29, 3, 0, 8, 20, 21, 7, 25, 4, 12, 16]",6,6,0,18,0.24999999999895836,0.749999999996875
6,"[13, 22, 5, 6, 9, 28, 15, 24, 19, 18, 26, 14, 1, 11, 17, 2, 10, 27]","[4, 29, 16, 12, 8, 23, 25, 0, 21, 3, 7, 20]",6,6,0,18,0.24999999999895836,0.749999999996875
7,"[13, 5, 22, 24, 15, 28, 19, 9, 26, 6, 14, 18, 10, 1, 17, 11, 2, 27]","[29, 23, 8, 3, 20, 25, 12, 16, 4, 21, 0, 7]",6,6,0,18,0.24999999999895836,0.749999999996875
8,"[13, 22, 5, 15, 28, 19, 6, 24, 18, 9, 26, 14, 11, 1, 17, 10, 2, 27]","[7, 0, 20, 23, 25, 21, 8, 3, 12, 4, 29, 16]",6,6,0,18,0.24999999999895836,0.749999999996875
9,"[22, 13, 5, 6, 15, 9, 28, 26, 19, 24, 14, 18, 1, 17, 11, 10, 2, 27]","[20, 12, 16, 8, 4, 7, 21, 0, 25, 23, 3, 29]",6,6,0,18,0.24999999999895836,0.749999999996875
10,"[22, 13, 5, 15, 9, 28, 24, 6, 14, 19, 18, 26, 1, 17, 2, 10, 11, 27]","[25, 7, 16, 29, 21, 20, 8, 23, 12, 0, 3, 4]",6,6,0,18,0.24999999999895836,0.749999999996875
11,"[22, 13, 5, 15, 9, 26, 28, 6, 19, 24, 18, 14, 1, 11, 17, 2, 10, 27]","[0, 4, 12, 7, 3, 21, 8, 16, 23, 29, 25, 20]",6,6,0,18,0.24999999999895836,0.749999999996875
12,"[22, 5, 13, 6, 28, 19, 14, 9, 15, 18, 24, 26, 17, 2, 11, 1, 10, 27]","[21, 8, 23, 16, 12, 0, 7, 29, 3, 4, 25, 20]",6,6,0,18,0.24999999999895836,0.749999999996875
13,"[22, 13, 5, 28, 24, 9, 14, 15, 18, 6, 26, 19, 2, 1, 17, 10, 11, 27]","[29, 21, 0, 3, 20, 25, 8, 23, 4, 16, 12, 7]",6,6,0,18,0.24999999999895836,0.749999999996875
14,"[13, 5, 22, 6, 28, 15, 9, 19, 26, 24, 18, 14, 17, 10, 1, 2, 11, 27]","[12, 25, 16, 7, 8, 23, 20, 0, 29, 21, 3, 4]",6,6,0,18,0.24999999999895836,0.749999999996875
15,"[13, 22, 5, 15, 9, 19, 6, 26, 14, 18, 28, 24, 17, 2, 1, 10, 11, 27]","[23, 21, 7, 8, 29, 20, 0, 3, 16, 12, 4, 25]",6,6,0,18,0.24999999999895836,0.749999999996875
16,"[13, 22, 5, 9, 28, 6, 15, 19, 24, 14, 26, 18, 2, 17, 11, 10, 1, 27]","[25, 3, 8, 7, 20, 0, 23, 21, 4, 29, 16, 12]",6,6,0,18,0.24999999999895836,0.749999999996875
17,"[13, 22, 5, 9, 28, 15, 18, 19, 6, 14, 26, 24, 17, 11, 1, 10, 2, 27]","[16, 23, 8, 4, 3, 7, 0, 21, 12, 29, 25, 20]",6,6,0,18,0.24999999999895836,0.749999999996875
18,"[22, 13, 5, 9, 19, 15, 14, 28, 6, 24, 26, 18, 17, 1, 11, 10, 2, 27]","[0, 8, 3, 20, 29, 12, 4, 16, 25, 23, 7, 21]",6,6,0,18,0.24999999999895836,0.749999999996875
19,"[22, 13, 5, 9, 28, 19, 14, 6, 15, 24, 26, 18, 11, 1, 17, 2, 10, 27]","[16, 21, 7, 23, 0, 25, 8, 12, 4, 3, 20, 29]",6,6,0,18,0.24999999999895836,0.749999999996875
20,"[13, 22, 5, 9, 15, 26, 6, 28, 24, 19, 18, 14, 17, 11, 2, 10, 1, 27]","[25, 20, 21, 16, 0, 29, 3, 23, 7, 4, 12, 8]",6,6,0,18,0.24999999999895836,0.749999999996875
21,"[22, 5, 13, 9, 15, 28, 6, 18, 14, 26, 19, 24, 17, 10, 2, 11, 1, 27]","[12, 25, 7, 0, 3, 16, 29, 20, 8, 4, 23, 21]",6,6,0,18,0.24999999999895836,0.749999999996875
22,"[13, 5, 22, 28, 15, 9, 6, 26, 24, 19, 14, 18, 1, 17, 11, 2, 10, 27]","[8, 12, 20, 3, 21, 25, 4, 16, 23, 7, 29, 0]",6,6,0,18,0.24999999999895836,0.749999999996875
23,"[13, 22, 5, 9, 15, 28, 26, 14, 6, 24, 19, 18, 17, 2, 11, 1, 10, 27]","[3, 23, 20, 12, 25, 16, 0, 7, 4, 29, 21, 8]",6,6,0,18,0.24999999999895836,0.749999999996875
24,"[5, 22, 13, 6, 28, 15, 9, 19, 26, 18, 14, 24, 17, 1, 2, 11, 10, 27]","[29, 7, 4, 12, 25, 20, 8, 21, 3, 16, 0, 23]",6,6,0,18,0.24999999999895836,0.749999999996875
25,"[5, 13, 22, 9, 28, 6, 15, 26, 18, 14, 19, 24, 1, 17, 10, 11, 2, 27]","[16, 8, 23, 12, 21, 3, 25, 29, 20, 7, 4, 0]",6,6,0,18,0.24999999999895836,0.749999999996875
26,"[13, 5, 22, 9, 6, 15, 19, 18, 14, 26, 24, 28, 1, 17, 11, 2, 10, 27]","[4, 3, 12, 20, 7, 21, 8, 16, 0, 25, 29, 23]",6,6,0,18,0.24999999999895836,0.749999999996875
27,"[13, 5, 22, 6, 9, 15, 28, 26, 19, 24, 14, 18, 17, 1, 10, 11, 2, 27]","[16, 25, 21, 0, 12, 20, 7, 8, 29, 3, 23, 4]",6,6,0,18,0.24999999999895836,0.749999999996875
28,"[5, 22, 13, 15, 6, 9, 28, 19, 26, 24, 14, 18, 17, 11, 10, 1, 2, 27]","[12, 23, 20, 25, 0, 29, 8, 7, 21, 4, 3, 16]",6,6,0,18,0.24999999999895836,0.749999999996875
29,"[5, 13, 22, 9, 15, 6, 19, 14, 28, 24, 18, 26, 17, 1, 11, 10, 2, 27]","[25, 3, 8, 20, 21, 7, 23, 16, 29, 4, 0, 12]",6,6,0,18,0.24999999999895836,0.749999999996875
30,"[5, 22, 13, 9, 15, 6, 28, 24, 26, 14, 19, 18, 17, 11, 1, 2, 10, 27]","[29, 21, 4, 20, 25, 3, 23, 7, 16, 12, 0, 8]",6,6,0,18,0.24999999999895836,0.749999999996875
